koi_period,koi_duration,koi_depth,koi_prad,koi_impact,koi_snr,koi_steff,koi_slogg,koi_srad,koi_disposition,period,duration,depth,prad,impact,snr,steff,slogg,srad,disposition,mission,prediction,confidence,confirmed_label
9.48803557,2.9575,615.8,2.26,0.146,35.8,5455.0,4.467,0.927,CONFIRMED,9.48803557,2.9575,615.8,2.26,0.146,35.8,5455.0,4.467,0.927,CONFIRMED,kepler,CONFIRMED,0.6144337,CONFIRMED
54.4183827,4.507,874.8,2.83,0.586,25.8,5455.0,4.467,0.927,CONFIRMED,54.4183827,4.507,874.8,2.83,0.586,25.8,5455.0,4.467,0.927,CONFIRMED,kepler,CONFIRMED,0.54381144,CONFIRMED
19.89913995,1.7822,10829.0,14.6,0.969,76.3,5853.0,4.544,0.868,CANDIDATE,19.89913995,1.7822,10829.0,14.6,0.969,76.3,5853.0,4.544,0.868,FALSE POSITIVE,kepler,FALSE POSITIVE,0.5786664,FALSE POSITIVE
1.736952453,2.40641,8079.2,33.46,1.276,505.6,5805.0,4.564,0.791,FALSE POSITIVE,1.736952453,2.40641,8079.2,33.46,1.276,505.6,5805.0,4.564,0.791,FALSE POSITIVE,kepler,FALSE POSITIVE,0.5496784,FALSE POSITIVE
2.525591777,1.6545,603.3,2.75,0.701,40.9,6031.0,4.438,1.046,CONFIRMED,2.525591777,1.6545,603.3,2.75,0.701,40.9,6031.0,4.438,1.046,FALSE POSITIVE,kepler,FALSE POSITIVE,0.35956192,FALSE POSITIVE
11.09432054,4.5945,1517.5,3.9,0.538,66.5,6046.0,4.486,0.972,CONFIRMED,11.09432054,4.5945,1517.5,3.9,0.538,66.5,6046.0,4.486,0.972,CONFIRMED,kepler,CONFIRMED,0.50638545,CONFIRMED
4.13443512,3.1402,686.0,2.77,0.762,40.2,6046.0,4.486,0.972,CONFIRMED,4.13443512,3.1402,686.0,2.77,0.762,40.2,6046.0,4.486,0.972,CONFIRMED,kepler,CONFIRMED,0.39289197,CONFIRMED
2.56658897,2.429,226.5,1.59,0.755,15.0,6046.0,4.486,0.972,CONFIRMED,2.56658897,2.429,226.5,1.59,0.755,15.0,6046.0,4.486,0.972,FALSE POSITIVE,kepler,FALSE POSITIVE,0.3506481,FALSE POSITIVE
7.36178958,5.022,233.7,39.21,1.169,47.7,6227.0,3.986,1.958,FALSE POSITIVE,7.36178958,5.022,233.7,39.21,1.169,47.7,6227.0,3.986,1.958,CONFIRMED,kepler,CONFIRMED,0.4685939,CONFIRMED
16.06864674,3.5347,4914.3,5.76,0.052,161.9,5031.0,4.485,0.848,CONFIRMED,16.06864674,3.5347,4914.3,5.76,0.052,161.9,5031.0,4.485,0.848,CONFIRMED,kepler,CONFIRMED,0.69555897,CONFIRMED
2.470613377,1.74319,14231.0,13.04,0.818,4304.3,5820.0,4.457,0.964,CONFIRMED,2.470613377,1.74319,14231.0,13.04,0.818,4304.3,5820.0,4.457,0.964,CONFIRMED,kepler,CONFIRMED,0.65647405,CONFIRMED
2.204735417,3.88864,6674.7,16.1,0.224,5945.9,6440.0,4.019,1.952,CONFIRMED,2.204735417,3.88864,6674.7,16.1,0.224,5945.9,6440.0,4.019,1.952,CONFIRMED,kepler,CONFIRMED,0.6141665,CONFIRMED
3.522498429,3.19843,9145.7,14.59,0.631,1741.5,6225.0,4.169,1.451,CONFIRMED,3.522498429,3.19843,9145.7,14.59,0.631,1741.5,6225.0,4.169,1.451,CONFIRMED,kepler,CONFIRMED,0.47530273,CONFIRMED
3.709214104,2.6302,131.1,1.16,0.051,50.6,5833.0,4.407,1.022,CONFIRMED,3.709214104,2.6302,131.1,1.16,0.051,50.6,5833.0,4.407,1.022,CONFIRMED,kepler,CONFIRMED,0.54554015,CONFIRMED
11.521446064,3.6399,17984.0,150.51,2.483,622.1,5795.0,4.554,0.848,FALSE POSITIVE,11.521446064,3.6399,17984.0,150.51,2.483,622.1,5795.0,4.554,0.848,FALSE POSITIVE,kepler,FALSE POSITIVE,0.8118524,FALSE POSITIVE
19.40393776,12.2155,8918.7,7.18,0.804,214.7,5043.0,4.591,0.68,FALSE POSITIVE,19.40393776,12.2155,8918.7,7.18,0.804,214.7,5043.0,4.591,0.68,FALSE POSITIVE,kepler,FALSE POSITIVE,0.4542016,FALSE POSITIVE
19.221388942,4.79843,74284.0,49.29,1.065,2317.0,6117.0,4.496,0.947,FALSE POSITIVE,19.221388942,4.79843,74284.0,49.29,1.065,2317.0,6117.0,4.496,0.947,FALSE POSITIVE,kepler,FALSE POSITIVE,0.94344616,FALSE POSITIVE
16.46983774,9.4378,10479.0,7.94,0.292,303.4,5152.0,4.517,0.786,FALSE POSITIVE,16.46983774,9.4378,10479.0,7.94,0.292,303.4,5152.0,4.517,0.786,CONFIRMED,kepler,CONFIRMED,0.5146187,CONFIRMED
9.27358173,3.2875,1288.3,2.47,0.387,87.2,4856.0,4.583,0.696,CONFIRMED,9.27358173,3.2875,1288.3,2.47,0.387,87.2,4856.0,4.583,0.696,CONFIRMED,kepler,CONFIRMED,0.6620747,CONFIRMED
6.02930329,1.5821,1912.7,2.85,0.258,65.4,4537.0,4.648,0.672,CONFIRMED,6.02930329,1.5821,1912.7,2.85,0.258,65.4,4537.0,4.648,0.672,CONFIRMED,kepler,CONFIRMED,0.59872264,CONFIRMED
2.696370652,3.6129,397.9,1.58,0.044,48.2,4989.0,4.504,0.819,FALSE POSITIVE,2.696370652,3.6129,397.9,1.58,0.044,48.2,4989.0,4.504,0.819,CONFIRMED,kepler,CONFIRMED,0.6680383,CONFIRMED
